,country,food_category,consumption,co2_emmission
10,Argentina,Nuts inc. Peanut Butter,0.49,0.8700000000000001
21,Australia,Nuts inc. Peanut Butter,8.729999999999999,15.45
32,Albania,Nuts inc. Peanut Butter,4.359999999999999,7.72
43,Iceland,Nuts inc. Peanut Butter,3.88,6.87
54,New Zealand,Nuts inc. Peanut Butter,8.219999999999999,14.55
65,USA,Nuts inc. Peanut Butter,7.859999999999999,13.91
76,Uruguay,Nuts inc. Peanut Butter,0.95,1.6800000000000002
87,Luxembourg,Nuts inc. Peanut Butter,0.93,1.65
98,Brazil,Nuts inc. Peanut Butter,0.6699999999999999,1.1900000000000002
109,Kazakhstan,Nuts inc. Peanut Butter,5.14,9.1
120,Sweden,Nuts inc. Peanut Butter,6.23,11.03
131,Bermuda,Nuts inc. Peanut Butter,5.72,10.12
142,Denmark,Nuts inc. Peanut Butter,5.94,10.51
153,Finland,Nuts inc. Peanut Butter,3.43,6.07
164,Ireland,Nuts inc. Peanut Butter,4.1,7.26
175,Greece,Nuts inc. Peanut Butter,10.5,18.59
186,France,Nuts inc. Peanut Butter,5.39,9.54
197,Canada,Nuts inc. Peanut Butter,8.01,14.18
208,Norway,Nuts inc. Peanut Butter,5.28,9.35
219,Hong Kong SAR. China,Nuts inc. Peanut Butter,13.81,24.44
230,French Polynesia,Nuts inc. Peanut Butter,2.34,4.14
241,Israel,Nuts inc. Peanut Butter,7.71,13.65
252,Switzerland,Nuts inc. Peanut Butter,9.27,16.41
263,Netherlands,Nuts inc. Peanut Butter,7.94,14.05
274,Kuwait,Nuts inc. Peanut Butter,5.23,9.26
285,United Kingdom,Nuts inc. Peanut Butter,4.18,7.4
296,Austria,Nuts inc. Peanut Butter,7.88,13.95
307,Oman,Nuts inc. Peanut Butter,1.6800000000000002,2.97
318,Italy,Nuts inc. Peanut Butter,7.63,13.51
329,Bahamas,Nuts inc. Peanut Butter,4.03,7.13
340,Portugal,Nuts inc. Peanut Butter,3.91,6.92
351,Malta,Nuts inc. Peanut Butter,5.619999999999999,9.95
362,Armenia,Nuts inc. Peanut Butter,2.55,4.51
373,Slovenia,Nuts inc. Peanut Butter,5.28,9.35
384,Chile,Nuts inc. Peanut Butter,2.22,3.93
395,Venezuela,Nuts inc. Peanut Butter,0.35,0.62
406,Belgium,Nuts inc. Peanut Butter,7.319999999999999,12.96
417,Germany,Nuts inc. Peanut Butter,7.96,14.09
428,Russia,Nuts inc. Peanut Butter,1.62,2.87
